Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.703698682233041,0.036791448236732534,0.5543798837190426,0.28435633051228226,16.78752414557222,0.3640447660319267
2,0.23419236009633657,0.02176175710022821,0.8068621930328737,0.05879543162135943,18.943699951278067,0.43266464361260015
3,0.541691556533107,0.018565197328465493,0.7170076932847659,0.3229902724761148,19.28301026975833,0.4632998277102747
4,0.798389616547582,0.016517922730049914,0.33416034256042587,0.19180699193042405,19.669769814473636,0.5044433436086101
5,0.8863133777493573,0.015511618426213918,0.44946538197176855,0.3597295626115555,20.048850082795568,0.5242953564851515
6,0.9908488834955176,0.013348040321073888,0.7986413597105235,0.7909883346710477,20.36887355308748,0.5525542334202798
7,0.9946531999461479,0.012427813657961672,0.8191091524949587,0.8186654706990624,21.260625464438874,0.5715282097939522
8,0.9921055894713262,0.011384903090879096,0.8330759456512233,0.8265870016595666,21.25171954182546,0.5889872259670689
9,0.9922684982007673,0.010958929728627045,0.9102422485687004,0.9028205222459319,21.07300768132404,0.6030264996713207
10,0.9996021021081206,0.010392599866019757,0.9965556132825272,0.9963859232111053,21.756278864306303,0.6074869320277245
11,1.000143965386113,0.01065447646875734,0.9968397429980875,0.9969831527287899,20.88136007555957,0.5974582029927161
12,1.000063702291606,0.010053541078393945,0.9972762995708869,0.9973657459737144,22.067703884063427,0.6168490407928344
13,1.000062789114479,0.009785414840080647,0.9977405235264202,0.9978780667376327,21.591395260881097,0.6244595872779046
14,1.0000727977587087,0.009812687060075048,0.9981293377872036,0.9983254746465097,21.33051857343389,0.618260155281713
15,1.00003384652142,0.009534851615570107,0.9983471632003784,0.9984447008143125,22.18110548637179,0.6184630230549844
16,1.0001034049295678,0.00947255388114565,0.9984952974616685,0.9986338318721163,21.877131568433022,0.6224148037933535
17,1.0000717851166627,0.009254449449366793,0.9987096890528502,0.9987885507216755,22.30666070455409,0.6372405069489633
18,1.0000589537174704,0.009177630354226538,0.9988712198163183,0.9989496311330414,22.147907091116537,0.639468502613806
19,0.9999998034055172,0.008975147788818404,0.9990755997909995,0.9990607762273039,22.19251507387291,0.6394513134033449
20,1.0000483312993207,0.00894953676218288,0.9989609582447517,0.9990394972629666,21.619708516586588,0.636751391714619
21,0.9999790481446793,0.008724305527458898,0.9991215840048379,0.999101444110208,22.518407641943558,0.6419181766048554
22,0.9999436652246375,0.0087726273128592,0.9990434966656319,0.9989165273077872,21.881973327756143,0.6322869422935671
23,0.999967505331031,0.008591646666929643,0.9987302591306019,0.9987031868389432,22.17444342210914,0.6442702191491281
24,0.9999947626996232,0.008523735903594926,0.9986617270051,0.9986641299798885,22.614797744921347,0.6474497265392735
25,0.9995482523103749,0.008429899667443596,0.9978152590995374,0.9975971626258809,22.171908601083857,0.6402639395767643
26,0.999763468441322,0.008716561335602564,0.9935839850777297,0.9933994874716442,21.8584819428416,0.6414226178200014
27,1.0005306065454085,0.008676757960549605,0.9925582262945303,0.9929247117955453,22.353900709863726,0.6427738262761024
28,0.999950642736491,0.00829593314957587,0.9980363619720309,0.9980197345053418,22.368961139729375,0.6528124890981182
29,0.9999484565251657,0.008169058948350558,0.998591099694066,0.9985182665865653,22.325918420231652,0.6508907795913758
30,0.9999762507070947,0.00809074476699636,0.9983150549266132,0.9983028434581875,22.60125746254389,0.6443608730070053
31,1.0000036112028685,0.008046655661077342,0.9979294310269988,0.9978695383373373,22.52853068001165,0.6551579400416343
