Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.8549335501816054,0.040087639562327845,0.49183557209752016,0.37378425122581205,17.647184163347635,0.42109141859316057
2,0.8225432328103592,0.01724617877346484,0.5209671249903427,0.4060302216987576,20.237642123901132,0.5299773711350656
3,0.9976517676988671,0.013236446410603323,0.5779863686988318,0.5717925756028583,21.111082950277297,0.5956381314223812
4,0.9848108262434031,0.011503224018115288,0.30079676084824153,0.28761103859408454,21.119939647136015,0.6290874803258527
5,0.9696684089072135,0.010573911238445147,0.1708809654041793,0.14133004402328792,21.436811649485964,0.6767666964761673
6,0.9376490332670543,0.009039677628121096,0.40145663992698344,0.35255216117799015,22.44344365423835,0.7000864638436225
7,0.9281890616285302,0.008660481418362708,0.2478488531371683,0.18041260908038512,23.126294620323662,0.7244817191554654
8,0.993718280817713,0.00719476731051214,0.7487016571279307,0.7445341333255955,23.806293576250606,0.7488700968603934
9,0.9969044648316537,0.006834570622819667,0.8935869062785474,0.8925744557316985,22.429062120019978,0.7433897208782935
10,0.9991703214437326,0.007032293567594841,0.9526650459237749,0.9505314279749048,23.624063805956574,0.7728874308447684
11,0.9933730735379676,0.005912645585181478,0.8814640729849824,0.8773393122510834,24.597867878581138,0.7876705075463941
12,0.9978765965251124,0.005850163800517497,0.5998717659515456,0.5994629568004863,25.18889336863909,0.8017181494543629
13,1.0007640296395932,0.005680533358205246,0.556665613835981,0.5609209127226581,24.68471554022149,0.812184008859819
14,1.000811309179661,0.005391281167789962,0.5312120466495558,0.532421292042159,25.14450224280386,0.8162345155592887
15,1.002954183257486,0.005815276885629098,0.5218245493495242,0.5256792423933188,24.304785519205975,0.8177450058921691
16,0.9990427387896543,0.005393508897608317,0.4942065313365559,0.4936993042486434,24.601858291644774,0.8211436358190352
17,1.0011010484194394,0.005361636741068596,0.4915331803255599,0.49225920144193214,25.409862350679443,0.8271330979562574
18,1.0046598868824388,0.005579978295204662,0.32330407784755805,0.331894613092538,25.29674005274808,0.8260520562048881
19,1.0051857319031035,0.005182450683248409,0.3241116548370062,0.33146447070666113,23.69713715318275,0.8251128994649456
